SCHL,ESR,WKHP,WAGP,COW,INDP,OCCP,AGEP,SEX,RAC1P,MAR,NATIVITY,DRIVESP,HICOV,HINS1,HINS2,HINS3,HINS4,HINS5,HINS6,HINS7,DIS,CIT,ENG,LANX,FER,poverty_status
16,1,12,9000,1,8680,4720,23,2,8,5,2,1,2,2,2,2,2,2,2,2,2,4,1,1,2,1
16,6,,0,,,,75,2,1,2,2,,1,2,1,1,2,2,2,2,2,4,,2,,1
18,2,60,5000,1,7790,9130,61,1,1,1,1,,1,1,2,2,2,2,2,2,2,1,,2,,0
01,1,40,45000,1,1990,8990,55,1,9,1,2,1,1,2,2,2,1,2,2,2,2,5,4,1,,0
12,,,,,,,14,2,8,5,1,,1,2,2,2,1,2,2,2,2,1,,2,,0
08,,,,,,,9,1,1,5,2,,1,1,2,2,2,2,2,2,2,5,1,1,,0
19,6,40,0,6,7071,0410,68,1,1,1,1,,1,2,2,1,2,2,2,2,2,1,,2,,0
22,6,,0,,,,68,2,1,3,1,,1,2,2,1,2,2,1,2,1,1,,2,,0
16,6,40,0,6,7390,0710,69,2,1,2,1,,1,2,2,1,2,2,2,2,2,1,,2,,0
21,6,,0,,,,78,2,1,1,1,,1,1,2,1,2,2,2,2,1,1,,2,,0
20,1,36,150000,1,7580,3255,49,2,1,1,1,6,1,1,2,2,2,2,2,2,2,1,,2,2,0
20,1,20,7600,1,8470,4600,29,2,1,5,1,2,1,2,2,2,1,2,2,2,2,1,,2,2,0
15,6,,0,1,7860,2545,34,2,9,5,2,,1,2,2,2,1,2,2,2,1,5,1,1,2,1
21,1,30,0,6,8470,4600,23,2,8,5,2,1,1,2,2,2,1,2,2,2,2,5,1,1,2,0
19,2,20,3000,2,4971,4720,24,2,2,5,1,,1,2,2,2,1,2,2,2,2,1,,2,1,1
17,3,40,9400,1,0770,6230,41,1,9,1,2,,2,2,2,2,2,2,2,2,2,5,1,1,,0
