RELSHIPP,SCHL,SCH,SCHG,ESR,WKHP,WAGP,COW,INDP,OCCP,AGEP,SEX,RAC1P,HISP,MAR,NATIVITY,CIT,ENG,LANX,DRIVESP,JWMNP,JWTRNS,HICOV,PRIVCOV,PUBCOV,DIS,DEAR,DEYE,DPHY,FER,PINCP,SEMP,SSIP,SSP,poverty_status
20,16,1,,1,40,35000,1,7680,3930,51,1,8,02,5,1,1,1,1,1,5,01,1,1,2,1,2,1,2,,35000,0,0,0,0
21,19,1,,1,60,60000,1,6570,2920,49,1,1,01,1,2,5,1,1,,,11,1,1,2,2,2,2,2,,60000,0,0,0,0
34,21,1,,1,10,50000,1,8563,0040,28,2,1,01,5,1,1,,2,1,40,01,1,1,2,1,1,2,2,2,50000,0,0,0,0
20,19,1,,1,40,94000,3,9390,7000,54,1,1,01,3,1,1,,2,1,20,01,1,1,2,2,2,2,2,,94000,0,0,0,0
21,01,1,,1,40,0,6,7770,4251,53,1,9,02,1,2,5,,2,1,25,01,1,1,2,2,2,2,2,,35000,35000,0,0,0
30,04,2,04,,,,,,,8,2,9,02,5,1,1,1,1,,,,1,2,1,2,2,2,2,,,,,,1
20,22,1,,6,30,40000,3,7860,2002,69,2,1,01,1,1,1,,2,,,,1,1,1,2,2,2,2,,73000,0,0,20000,0
20,16,1,,1,60,42500,3,8370,3602,73,2,1,01,3,1,1,,2,,,11,1,1,1,2,2,2,2,,50900,0,0,8400,0
20,24,1,,1,70,150000,1,8191,3100,60,2,9,23,5,2,4,1,1,1,15,01,1,1,2,2,2,2,2,,150000,0,0,0,0
25,13,2,12,1,12,4000,1,5081,4720,16,2,1,01,5,1,1,,2,1,30,01,1,1,2,2,2,2,2,2,4000,0,0,0,0
20,16,1,,6,,0,,,,69,2,2,01,1,2,4,,2,,,,1,1,1,2,2,2,2,,7200,0,0,7200,0
20,22,1,,1,40,225000,2,8191,3255,39,1,1,01,1,1,1,,2,1,35,01,1,1,2,2,2,2,2,,225000,0,0,0,0
20,19,1,,1,40,61000,1,6070,9620,46,1,6,01,5,1,1,,2,1,75,01,1,1,2,2,2,2,2,,61020,0,0,0,0
21,19,1,,6,,0,,,,73,2,6,01,1,1,1,,2,,,,1,1,1,2,2,2,2,,8400,0,0,8400,0
21,16,1,,6,,0,,,,50,2,8,08,1,1,1,1,1,,,,1,2,1,2,2,2,2,2,0,0,0,0,0
25,12,3,12,,,0,,,,15,1,9,23,5,1,1,,2,,,,1,1,2,2,2,2,2,,0,0,0,0,0
21,15,1,,1,40,140000,1,6170,9130,60,1,9,02,1,2,5,3,1,,45,12,2,2,2,2,2,2,2,,140000,0,0,0,0
21,18,1,,6,,0,1,5371,4700,69,2,1,01,1,1,1,,2,,,,1,1,2,2,2,2,2,,0,0,0,0,0
20,08,1,,6,,0,,,,57,2,8,02,1,2,5,3,1,,,,2,2,2,2,2,2,2,,0,0,0,0,0
25,02,1,,,,,,,,4,2,1,01,5,1,1,,,,,,1,1,2,2,2,2,,,,,,,0
25,12,3,12,,,,,,,14,1,8,24,5,1,1,,2,,,,1,1,2,2,2,2,2,,,,,,0
21,22,1,,6,,0,,,,65,2,6,01,1,1,1,,2,,,,1,1,1,2,2,2,2,,127800,0,0,0,0
25,,,,,,,,,,0,2,1,01,5,1,1,,,,,,1,1,2,2,2,2,,,,,,,0
20,15,1,,1,40,75000,1,8870,7040,60,1,1,03,1,1,1,1,1,1,10,01,1,1,2,2,2,2,2,,75000,0,0,0,0
20,18,1,,1,60,68000,2,6170,9130,59,1,6,02,1,1,1,1,1,1,25,01,1,1,1,2,2,2,2,,69700,0,0,0,0
25,19,2,15,6,,0,,,,18,1,6,01,5,2,4,1,1,,,,1,1,2,2,2,2,2,,0,0,0,0,0
25,16,1,,1,40,45000,3,8270,5400,26,2,8,02,5,2,5,1,1,1,15,01,1,1,2,2,2,2,2,2,45000,0,0,0,0
25,13,2,12,6,,0,,,,16,1,9,02,5,1,1,,2,,,,1,1,2,2,2,2,2,,14400,0,0,14400,0
21,21,1,,1,40,70000,3,9380,0845,32,2,1,01,1,2,4,1,1,,,11,1,1,2,2,2,2,2,2,70000,0,0,0,0
20,16,1,,1,40,35600,1,5392,9130,57,1,8,03,1,1,1,1,1,1,25,01,2,2,2,2,2,2,2,,35600,0,0,0,0
30,08,3,07,,,,,,,12,1,9,02,5,1,1,,2,,,,1,1,2,2,2,2,2,,,,,,0
21,17,1,,1,40,52000,1,3470,7750,65,2,6,01,1,2,4,3,1,1,25,01,1,1,1,2,2,2,2,,53410,0,0,0,0
27,11,2,11,,,,,,,14,2,1,01,5,1,1,,2,,,,1,1,2,2,2,2,2,,,,,,0
25,12,2,12,6,,0,,,,16,2,8,02,5,2,5,1,1,,,,1,2,1,2,2,2,2,2,0,0,0,0,0
20,23,1,,1,40,180000,2,8191,3258,50,2,9,17,3,1,1,1,1,1,15,01,1,1,2,2,2,2,2,2,180000,0,0,0,0
20,21,1,,6,,0,,,,64,2,1,01,1,1,1,,2,,,,1,1,2,2,2,2,2,,39600,0,0,27600,0
20,21,1,,6,,0,1,3570,5400,31,2,2,01,1,1,1,,2,,,,1,1,1,2,2,2,2,2,0,0,0,0,0
21,22,1,,1,40,74000,1,7860,2320,36,1,6,01,1,1,1,,2,1,20,01,1,1,2,2,2,2,2,,74000,0,0,0,0
20,21,1,,6,,0,,,,64,2,6,01,1,2,4,2,1,,,,1,1,1,1,2,2,2,,0,0,0,0,1
24,20,2,15,1,35,40000,1,8680,0310,23,2,1,02,5,1,1,,2,1,15,01,1,1,2,2,2,2,2,2,40000,0,0,0,0
20,16,1,,1,50,20000,1,8680,4020,54,1,6,01,1,2,4,2,1,1,15,01,1,2,1,2,2,2,2,,20000,0,0,0,1
20,17,1,,1,6,600,1,8370,3602,62,1,8,02,1,2,5,2,1,1,10,01,2,2,2,2,2,2,2,,600,0,0,0,0
20,16,1,,1,60,160000,1,2070,8990,28,1,1,01,1,1,1,,2,1,40,01,1,1,2,2,2,2,2,,166800,0,0,0,0
20,21,3,16,1,40,78000,1,3580,0845,29,1,8,11,5,1,1,1,1,1,10,01,1,1,2,2,2,2,2,,78000,0,0,0,0
20,18,1,,6,,0,7,5581,5810,63,2,1,01,1,1,1,,2,,,,1,1,2,2,2,2,2,,1200,0,0,0,0
25,11,2,10,,,,,,,13,1,6,01,5,1,1,,2,,,,1,1,2,2,2,2,2,,,,,,0
25,,,,,,,,,,1,1,9,01,5,1,1,,,,,,1,1,2,2,2,2,,,,,,,0
25,22,1,,1,40,58000,1,6481,2640,42,1,1,01,3,1,1,,2,1,15,01,1,2,1,2,2,2,2,,58000,0,0,0,0
25,19,2,15,1,20,10000,1,8680,5860,19,2,9,02,5,1,1,,2,1,15,01,1,1,2,2,2,2,2,2,10000,0,0,0,0
25,16,1,,6,,0,1,7690,5860,62,2,1,01,3,1,1,,2,,,,1,1,2,1,2,2,1,,0,0,0,0,0
20,19,1,,6,,0,1,7690,4220,33,2,2,01,5,1,1,,2,,,,1,2,1,1,2,1,2,2,13000,0,0,0,1
27,04,2,04,,,,,,,8,2,8,02,5,1,1,1,1,,,,2,2,2,2,2,2,2,,,,,,0
20,20,1,,1,40,48000,4,9570,0136,45,2,9,02,1,1,1,1,1,2,45,01,1,1,2,2,2,2,2,2,48000,0,0,0,0
25,05,3,05,,,,,,,8,1,1,01,5,1,1,,2,,,,1,1,2,2,2,2,2,,,,,,0
